종목코드,종목명,전일종가,전일거래량,시가총액,거래대금
000660,SK하이닉스,1846000,1670275,1348488905790000,3083327650000
005930,삼성전자,282500,9049059,1651573706760000,2556359167500
005935,삼성전자우,217000,2968600,174114551051000,644186200000
402340,SK스퀘어,1167000,430670,153955305666000,502591890000
009150,삼성전기,1480000,301473,110546670080000,446180040000
0010S0,와이즈플래닛컴퍼니,39050,8679166,391282171500,338921432300
240810,원익IPS,132900,2071223,6523250442900,275265536700
356680,엑스게이트,18800,14184479,536617649600,266668205200
034020,두산에너빌리티,81500,2674786,52205733399000,217995059000
030530,원익홀딩스,28550,5759887,2205144357550,164444773850
072950,빛샘전자,14880,9735100,119822836800,144858288000
006400,삼성SDI,512000,243489,41259791360000,124666368000
010170,대한광통신,17740,6687634,2758315608400,118638627160
047040,대우건설,17600,6672047,7231974428800,117428027200
035420,NAVER,196100,556687,29825705760900,109166320700
005380,현대차,353000,264205,71823671676000,93264365000
093370,후성,13970,6276515,1498356960100,87682914550
000720,현대건설,121650,716028,13546428812250,87104806200
115440,우리넷,12120,6965160,130826819040,84417739200
096770,SK이노베이션,147300,557320,24901475672400,82093236000
003490,대한항공,31300,2539195,11525305061700,79476803500
353200,대덕전자,113200,697549,5593995910000,78962546800
036930,주성엔지니어링,206000,379666,9575110926000,78211196000
046970,우리로,8140,9583368,356735491860,78008615520
387690,레메디,18500,4108353,141077133500,76004530500
009830,한화솔루션,28800,2603414,6476905036800,74978323200
0161M0,네오사피엔스,25950,2662144,317001177750,69082636800
440110,파두,79800,851358,3998859954600,67938368400
028050,삼성E&A,48700,1375441,9545200000000,66983976700
001820,삼화콘덴서,147300,446760,1531183500000,65807748000
066570,LG전자,210000,303353,34205773980000,63704130000
001440,대한전선,30800,2065874,6036571956800,63628919200
386380,스카이랩스,23150,2745581,434339767550,63560200150
058470,리노공업,72200,873461,5502495570000,63063884200
003670,포스코퓨처엠,183400,328784,16312736748000,60298985600
000150,두산,1470000,40528,23804937450000,59576160000
201490,미투온,3880,15249053,126968056880,59166325640
105560,KB금융,173700,339881,61609259395800,59037329700
012450,한화에어로스페이스,1020000,55514,52594669020000,56624280000
010060,OCI홀딩스,201000,274545,3752716632000,55183545000
007660,이수페타시스,117900,466179,8654946920100,54962504100
028260,삼성물산,369500,146782,59920921179500,54235949000
103590,일진전기,80200,653254,3824368278000,52390970800
950260,인제니아테라퓨틱스(Reg.S),23400,2217874,1157003803800,51898251600
006360,GS건설,34700,1464423,2969677703000,50815478100
222800,심텍,147850,341914,5689937169100,50551984900
373220,LG에너지솔루션,350500,136796,82017000000000,47946998000
043260,성호전자,26250,1772744,1980611010000,46534530000
403870,HPSP,55000,827821,4526500000000,45530155000
003230,삼양식품,1214000,36719,9145080210000,44576866000
080220,제주반도체,76700,579402,2641765291100,44440133400
298040,효성중공업,2835000,15552,26435093580000,44089920000
108490,로보티즈,299000,145603,4385441372000,43535297000
067310,하나마이크론,45850,925906,3048606343650,42452790100
042700,한미반도체,239000,172812,22779615800000,41302068000
055550,신한지주,110100,372656,51686471313900,41029425600
092870,엑시콘,43200,935674,563794430400,40421116800
329180,HD현대중공업,440500,91237,46235419612500,40189898500
089970,브이엠,61600,648358,1621728724000,39938852800
069540,빛과전자,4080,9766615,459782939760,39847789200
052690,한전기술,130400,304821,4983888000000,39748658400
321370,센서뷰,1820,21687517,128532496820,39471280940
278470,에이피알,370000,102844,13852117350000,38052280000
203650,드림시큐리티,2825,13325107,287315167300,37643427275
036540,SFA반도체,10430,3600020,1715320960290,37548208600
010120,LS ELECTRIC,204000,180634,30600000000000,36849336000
042660,한화오션,79700,459309,24421147501800,36606927300
486990,노타,20150,1815079,431057464500,36573841850
393210,토마토시스템,4305,8019704,67220611920,34524825720
011070,LG이노텍,526000,65565,12448898282000,34487190000
000270,기아,115500,293949,45092701269000,33951109500
010950,S-Oil,155400,216638,17495365876800,33665545200
032830,삼성생명,293000,114809,58600000000000,33639037000
303810,동국생명과학,3005,10828030,96112340700,32538230150
229640,LS에코에너지,63600,509530,1947742304400,32406108000
446540,메가터치,11270,2866649,327721580970,32307134230
196170,알테오젠,249500,127530,17378955683500,31818735000
253590,네오셈,13850,2269222,607587921400,31428724700
089030,테크윙,48700,640528,1804512511500,31193713600
095610,테스,155700,200126,3014352000000,31159618200
012330,현대모비스,366000,84894,32874334110000,31071204000
272210,한화시스템,74300,411626,14036710602700,30583811800
086790,하나금융지주,132800,226007,35984804048000,30013729600
000500,가온전선,315000,93636,9379946205000,29495340000
007810,코리아써키트,63400,463958,1520498108000,29414937200
128940,한미약품,523000,54899,6700148293000,28712177000
005490,POSCO홀딩스,310500,92331,24604494133500,28668775500
058610,에스피지,100700,278764,2233260152000,28071534800
322000,HD현대에너지솔루션,119300,231030,1336160000000,27561879000
319660,피에스케이,138100,199433,4000303203400,27541697300
419050,삼기에너지솔루션즈,1859,14648245,106327810160,27231087455
456010,아이씨티케이,22900,1145011,332103815000,26220751900
032820,우리기술,12940,2012506,2235832879280,26041827640
000990,DB하이텍,130400,198666,5672998275200,25906046400
066970,엘앤에프,108700,238280,4422588200800,25901036000
012210,삼미금속,12460,2064261,287222674340,25720692060
267270,HD건설기계,130500,195704,6198408873000,25539372000
017670,SK텔레콤,86800,291784,18643776600400,25326851200
034730,SK,593000,40691,42994102879000,24129763000
068270,셀트리온,177500,133274,41289548740000,23656135000
158430,아톤,5780,3939862,141506491760,22772402360
017900,광전자,10220,2210337,592185257860,22589644140
083650,비에이치아이,60000,368856,1856662500000,22131360000
352820,하이브,156000,141544,6724666416000,22080864000
064400,LG씨엔에스,69600,316626,6743261980800,22037169600
207940,삼성바이오로직스,1370000,15899,63418602870000,21781630000
024110,기업은행,20400,1054016,16267487727600,21501926400
016360,삼성증권,91400,235229,8162020000000,21499930600
035720,카카오,33925,623355,15028771709275,21147318375
316140,우리금융지주,35550,588157,26192762101350,20908981350
267260,HD현대일렉트릭,702000,29603,25305088770000,20781306000
082740,한화엔진,47750,427269,3984601030500,20402094750
080580,오킨스전자,25000,810940,527273875000,20273500000
033780,KT&G,175400,115425,18208353982400,20245545000
483650,달바글로벌,182100,110908,2281196746500,20196346800
247540,에코프로비엠,104800,190891,10252629483200,20005376800
159010,아스플로,30450,655610,406042802550,19963324500
054920,한컴위드,4985,3975316,140662148785,19816950260
161890,한국콜마,148300,132682,3500632919100,19676740600
475150,SK이터닉스,50400,385168,1716977001600,19412467200
010140,삼성중공업,20225,959218,17798000000000,19400184050
086280,현대글로비스,196700,97421,14752500000000,19162710700
034220,LG디스플레이,8500,2211369,4250000000000,18796636500
079550,LIG디펜스앤에어로스페이스,692000,27095,15224000000000,18749740000
299660,셀리드,2755,6769452,81280701635,18649840260
015760,한국전력,30350,604082,19483609736950,18333888700
417840,저스템,16720,1046802,383668506320,17502529440
347700,스피어,23600,740866,1216612143200,17484437600
000810,삼성화재,646000,26899,28842267558000,17376754000
084370,유진테크,157400,108368,3606985010800,17057123200
086520,에코프로,79500,214001,10794204084000,17013079500
003160,디아이,36500,461892,1032950000000,16859058000
375500,DL이앤씨,81100,206343,3138052825300,16734417300
071050,한국금융지주,185700,90087,10348316714400,16729155900
232140,와이씨,14220,1166487,1166684877000,16587445140
004020,현대제철,32850,495991,4383694037250,16293304350
336260,두산퓨얼셀,47400,342318,3104402612400,16225873200
078930,GS,108400,146963,10069871658000,15930789200
